Data,CAMiA_Al
'2020-05-04',9.0
'2020-05-05',9.0
'2020-05-06',14.0
'2020-05-07',18.0
'2020-05-08',22.0
'2020-05-09',24.0
'2020-05-10',52.0
'2020-05-11',52.0
'2020-05-12',52.0
'2020-05-11',3.0
'2020-05-12',3.0
'2020-04-12',1.0
'2020-04-13',1.0
'2020-04-14',1.0
'2020-04-15',1.0
'2020-04-16',1.0
'2020-04-17',1.0
'2020-04-18',1.0
'2020-04-19',3.0
'2020-04-20',3.0
'2020-04-21',3.0
'2020-04-22',3.0
'2020-04-23',6.0
'2020-04-24',6.0
'2020-04-25',6.0
'2020-04-26',6.0
'2020-04-27',6.0
'2020-04-28',6.0
'2020-04-29',9.0
'2020-04-30',9.0
'2020-05-01',9.0
'2020-05-02',11.0
'2020-05-03',13.0
'2020-05-04',13.0
'2020-05-05',13.0
'2020-05-06',12.0
'2020-05-07',12.0
'2020-05-08',17.0
'2020-05-09',27.0
'2020-05-10',26.0
'2020-05-11',30.0
'2020-05-12',28.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',10.0
'2020-05-06',5.0
'2020-05-07',5.0
'2020-05-08',5.0
'2020-05-09',5.0
'2020-05-10',5.0
'2020-05-11',15.0
'2020-05-12',15.0
'2020-04-13',1.0
'2020-04-14',1.0
'2020-04-15',1.0
'2020-04-16',1.0
'2020-04-17',1.0
'2020-04-18',1.0
'2020-04-19',2.0
'2020-04-20',3.0
'2020-04-21',3.0
'2020-04-22',3.0
'2020-04-23',3.0
'2020-04-24',4.0
'2020-04-25',6.0
'2020-04-26',6.0
'2020-04-27',6.0
'2020-04-28',6.0
'2020-04-29',7.0
'2020-04-30',8.0
'2020-05-01',9.0
'2020-05-02',9.0
'2020-05-03',9.0
'2020-05-04',9.0
'2020-05-05',9.0
'2020-05-06',11.0
'2020-05-07',13.0
'2020-05-08',16.0
'2020-05-09',26.0
'2020-05-10',34.0
'2020-05-11',38.0
'2020-05-12',42.0
'2020-03-21',1.0
'2020-03-22',2.0
'2020-03-23',2.0
'2020-03-24',8.0
'2020-03-25',8.0
'2020-03-26',10.0
'2020-03-27',13.0
'2020-03-28',14.0
'2020-03-29',16.0
'2020-03-30',23.0
'2020-03-31',31.0
'2020-04-01',52.0
'2020-04-02',71.0
'2020-04-03',81.0
'2020-04-04',88.0
'2020-04-05',96.0
'2020-04-06',133.0
'2020-04-07',172.0
'2020-04-08',230.0
'2020-04-09',273.0
'2020-04-10',293.0
'2020-04-11',344.0
'2020-04-12',398.0
'2020-04-13',445.0
'2020-04-14',478.0
'2020-04-15',630.0
'2020-04-16',695.0
'2020-04-17',797.0
'2020-04-18',1040.0
'2020-04-19',1205.0
'2020-04-20',1320.0
'2020-04-21',1396.0
'2020-04-22',1604.0
'2020-04-23',1757.0
'2020-04-24',1951.0
'2020-04-25',2105.0
'2020-04-26',2223.0
'2020-04-27',2410.0
'2020-04-28',2528.0
'2020-04-29',2804.0
'2020-04-30',3190.0
'2020-05-01',3506.0
'2020-05-02',3805.0
'2020-05-03',4040.0
'2020-05-04',4227.0
'2020-05-05',4530.0
'2020-05-06',5028.0
'2020-05-07',5389.0
'2020-05-08',5909.0
'2020-05-09',6765.0
'2020-05-10',7599.0
'2020-05-11',8144.0
'2020-05-12',8526.0
