Data,CACiE_Al
'2020-05-04',8.0
'2020-05-05',8.0
'2020-05-06',9.0
'2020-05-07',11.0
'2020-05-08',11.0
'2020-05-09',12.0
'2020-05-10',12.0
'2020-05-11',19.0
'2020-05-12',22.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',7.0
'2020-04-28',7.0
'2020-04-29',7.0
'2020-04-30',7.0
'2020-05-01',7.0
'2020-05-02',7.0
'2020-05-03',7.0
'2020-05-04',7.0
'2020-05-05',7.0
'2020-05-06',7.0
'2020-05-07',7.0
'2020-05-08',8.0
'2020-05-09',10.0
'2020-05-10',12.0
'2020-05-11',12.0
'2020-05-12',12.0
'2020-04-26',1.0
'2020-04-27',4.0
'2020-04-28',4.0
'2020-04-29',6.0
'2020-04-30',6.0
'2020-05-01',6.0
'2020-05-02',6.0
'2020-05-03',6.0
'2020-05-04',9.0
'2020-05-05',10.0
'2020-05-06',10.0
'2020-05-07',11.0
'2020-05-08',11.0
'2020-05-09',11.0
'2020-05-10',12.0
'2020-05-11',13.0
'2020-05-12',14.0
'2020-04-02',1.0
'2020-04-03',1.0
'2020-04-04',1.0
'2020-04-05',2.0
'2020-04-06',2.0
'2020-04-07',3.0
'2020-04-08',3.0
'2020-04-09',3.0
'2020-04-10',3.0
'2020-04-11',4.0
'2020-04-12',5.0
'2020-04-13',5.0
'2020-04-14',5.0
'2020-04-15',5.0
'2020-04-16',5.0
'2020-04-17',7.0
'2020-04-18',7.0
'2020-04-19',10.0
'2020-04-20',10.0
'2020-04-21',11.0
'2020-04-22',11.0
'2020-04-23',11.0
'2020-04-24',12.0
'2020-04-25',12.0
'2020-04-26',12.0
'2020-04-27',12.0
'2020-04-28',14.0
'2020-04-29',14.0
'2020-04-30',14.0
'2020-05-01',13.0
'2020-05-02',13.0
'2020-05-03',13.0
'2020-05-04',14.0
'2020-05-05',14.0
'2020-05-06',15.0
'2020-05-07',22.0
'2020-05-08',22.0
'2020-05-09',22.0
'2020-05-10',23.0
'2020-05-11',24.0
'2020-05-12',26.0
'2020-04-18',1.0
'2020-04-19',3.0
'2020-04-20',3.0
'2020-04-21',3.0
'2020-04-22',3.0
'2020-04-23',3.0
'2020-04-24',3.0
'2020-04-25',3.0
'2020-04-26',3.0
'2020-04-27',3.0
'2020-04-28',2.0
'2020-04-29',3.0
'2020-04-30',3.0
'2020-05-01',3.0
'2020-05-02',3.0
'2020-05-03',3.0
'2020-05-04',6.0
'2020-05-05',7.0
'2020-05-06',7.0
'2020-05-07',7.0
'2020-05-08',7.0
'2020-05-09',8.0
'2020-05-10',8.0
'2020-05-11',8.0
'2020-05-12',8.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-05-07',13.0
'2020-05-08',13.0
'2020-05-09',13.0
'2020-05-10',13.0
'2020-05-11',13.0
'2020-05-12',14.0
'2020-03-28',1.0
'2020-03-29',1.0
'2020-03-30',1.0
'2020-03-31',1.0
'2020-04-01',1.0
'2020-04-02',1.0
'2020-04-03',1.0
'2020-04-04',1.0
'2020-04-05',3.0
'2020-04-06',3.0
'2020-04-07',3.0
'2020-04-08',3.0
'2020-04-09',3.0
'2020-04-10',3.0
'2020-04-11',3.0
'2020-04-12',3.0
'2020-04-13',3.0
'2020-04-14',3.0
'2020-04-15',3.0
'2020-04-16',3.0
'2020-04-17',3.0
'2020-04-18',3.0
'2020-04-19',5.0
'2020-04-20',5.0
'2020-04-21',7.0
'2020-04-22',8.0
'2020-04-23',9.0
'2020-04-24',10.0
'2020-04-25',9.0
'2020-04-26',14.0
'2020-04-27',14.0
'2020-04-28',12.0
'2020-04-29',12.0
'2020-04-30',13.0
'2020-05-01',12.0
'2020-05-02',13.0
'2020-05-03',12.0
'2020-05-04',20.0
'2020-05-05',21.0
'2020-05-06',21.0
'2020-05-07',23.0
'2020-05-08',25.0
'2020-05-09',25.0
'2020-05-10',31.0
'2020-05-11',33.0
'2020-05-12',41.0
'2020-04-15',4.0
'2020-04-22',4.0
'2020-04-23',4.0
'2020-04-24',3.0
'2020-04-25',3.0
'2020-04-26',3.0
'2020-04-27',4.0
'2020-04-28',4.0
'2020-04-29',4.0
'2020-04-30',4.0
'2020-05-01',4.0
'2020-05-02',4.0
'2020-05-03',4.0
'2020-05-04',4.0
'2020-05-05',4.0
'2020-05-06',6.0
'2020-05-07',5.0
'2020-05-08',5.0
'2020-05-09',5.0
'2020-05-10',5.0
'2020-05-11',5.0
'2020-05-12',5.0
'2020-04-06',1.0
'2020-04-07',1.0
'2020-04-08',1.0
'2020-04-09',1.0
'2020-04-10',1.0
'2020-04-11',1.0
'2020-04-12',1.0
'2020-04-13',1.0
'2020-04-14',1.0
'2020-04-15',1.0
'2020-04-16',1.0
'2020-04-17',1.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',5.0
'2020-05-05',5.0
'2020-05-06',5.0
'2020-05-07',5.0
'2020-05-08',5.0
'2020-05-09',5.0
'2020-05-10',6.0
'2020-05-11',6.0
'2020-05-12',7.0
'2020-04-06',1.0
'2020-04-07',1.0
'2020-04-08',1.0
'2020-04-09',1.0
'2020-04-10',2.0
'2020-04-11',3.0
'2020-04-12',3.0
'2020-04-13',4.0
'2020-04-14',5.0
'2020-04-15',6.0
'2020-04-16',4.0
'2020-04-17',4.0
'2020-04-18',4.0
'2020-04-19',6.0
'2020-04-20',6.0
'2020-04-21',6.0
'2020-04-22',7.0
'2020-04-23',8.0
'2020-04-24',14.0
'2020-04-25',11.0
'2020-04-26',11.0
'2020-04-27',11.0
'2020-04-28',10.0
'2020-04-29',18.0
'2020-04-30',18.0
'2020-05-01',20.0
'2020-05-02',21.0
'2020-05-03',20.0
'2020-05-04',24.0
'2020-05-05',25.0
'2020-05-06',27.0
'2020-05-07',34.0
'2020-05-08',35.0
'2020-05-09',35.0
'2020-05-10',36.0
'2020-05-11',45.0
'2020-05-12',46.0
'2020-04-28',1.0
'2020-04-29',3.0
'2020-04-30',3.0
'2020-05-01',3.0
'2020-05-02',3.0
'2020-05-03',3.0
'2020-05-04',3.0
'2020-05-05',3.0
'2020-05-06',3.0
'2020-05-07',9.0
'2020-05-08',15.0
'2020-05-09',16.0
'2020-05-10',16.0
'2020-05-11',16.0
'2020-05-12',17.0
'2020-03-29',1.0
'2020-03-30',1.0
'2020-03-31',1.0
'2020-04-01',1.0
'2020-04-02',3.0
'2020-04-03',2.0
'2020-04-04',2.0
'2020-04-05',4.0
'2020-04-06',5.0
'2020-04-07',17.0
'2020-04-08',17.0
'2020-04-09',20.0
'2020-04-10',20.0
'2020-04-11',21.0
'2020-04-12',21.0
'2020-04-13',25.0
'2020-04-14',35.0
'2020-04-15',39.0
'2020-04-16',51.0
'2020-04-17',53.0
'2020-04-18',63.0
'2020-04-19',72.0
'2020-04-20',79.0
'2020-04-21',78.0
'2020-04-22',82.0
'2020-04-23',101.0
'2020-04-24',109.0
'2020-04-25',115.0
'2020-04-26',122.0
'2020-04-27',142.0
'2020-04-28',148.0
'2020-04-29',154.0
'2020-04-30',155.0
'2020-05-01',161.0
'2020-05-02',165.0
'2020-05-03',164.0
'2020-05-04',220.0
'2020-05-05',237.0
'2020-05-06',254.0
'2020-05-07',289.0
'2020-05-08',313.0
'2020-05-09',332.0
'2020-05-10',379.0
'2020-05-11',385.0
'2020-05-12',390.0
'2020-03-28',1.0
'2020-03-29',1.0
'2020-03-30',1.0
'2020-03-31',1.0
'2020-04-01',1.0
'2020-04-02',2.0
'2020-04-03',2.0
'2020-04-04',2.0
'2020-04-05',2.0
'2020-04-06',3.0
'2020-04-07',2.0
'2020-04-08',2.0
'2020-04-09',2.0
'2020-04-10',2.0
'2020-04-11',3.0
'2020-04-12',3.0
'2020-04-13',5.0
'2020-04-14',5.0
'2020-04-15',7.0
'2020-04-16',10.0
'2020-04-17',12.0
'2020-04-18',15.0
'2020-04-19',15.0
'2020-04-20',18.0
'2020-04-21',21.0
'2020-04-22',24.0
'2020-04-23',34.0
'2020-04-24',37.0
'2020-04-25',49.0
'2020-04-26',50.0
'2020-04-27',63.0
'2020-04-28',68.0
'2020-04-29',69.0
'2020-04-30',70.0
'2020-05-01',70.0
'2020-05-02',72.0
'2020-05-03',73.0
'2020-05-04',110.0
'2020-05-05',111.0
'2020-05-06',111.0
'2020-05-07',108.0
'2020-05-08',110.0
'2020-05-09',144.0
'2020-05-10',145.0
'2020-05-11',148.0
'2020-05-12',150.0
'2020-04-25',2.0
'2020-04-26',2.0
'2020-04-27',2.0
'2020-04-28',2.0
'2020-04-29',2.0
'2020-04-30',2.0
'2020-05-01',2.0
'2020-05-02',2.0
'2020-05-03',2.0
'2020-05-04',2.0
'2020-05-05',2.0
'2020-05-06',3.0
'2020-05-07',4.0
'2020-05-08',4.0
'2020-05-09',4.0
'2020-05-10',4.0
'2020-05-11',21.0
'2020-05-12',23.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-04-15',1.0
'2020-04-16',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',2.0
'2020-04-23',4.0
'2020-04-24',6.0
'2020-04-25',4.0
'2020-04-26',5.0
'2020-04-27',7.0
'2020-04-28',7.0
'2020-04-29',7.0
'2020-04-30',8.0
'2020-05-01',8.0
'2020-05-02',8.0
'2020-05-03',8.0
'2020-05-04',12.0
'2020-05-05',14.0
'2020-05-06',16.0
'2020-05-07',33.0
'2020-05-08',35.0
'2020-05-09',37.0
'2020-05-10',38.0
'2020-05-11',44.0
'2020-05-12',44.0
'2020-03-28',1.0
'2020-03-29',1.0
'2020-03-30',1.0
'2020-03-31',1.0
'2020-04-01',1.0
'2020-04-02',1.0
'2020-04-03',1.0
'2020-04-04',1.0
'2020-04-05',1.0
'2020-04-06',1.0
'2020-04-07',1.0
'2020-04-08',1.0
'2020-04-09',1.0
'2020-04-10',1.0
'2020-04-11',1.0
'2020-04-12',1.0
'2020-04-13',1.0
'2020-04-14',1.0
'2020-04-15',1.0
'2020-04-16',1.0
'2020-04-17',1.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',2.0
'2020-04-22',2.0
'2020-04-23',2.0
'2020-04-24',2.0
'2020-04-25',2.0
'2020-04-26',2.0
'2020-04-27',2.0
'2020-04-28',2.0
'2020-04-29',2.0
'2020-04-30',2.0
'2020-05-01',2.0
'2020-05-02',2.0
'2020-05-03',3.0
'2020-05-04',4.0
'2020-05-05',4.0
'2020-05-06',4.0
'2020-05-07',4.0
'2020-05-08',4.0
'2020-05-09',4.0
'2020-05-10',4.0
'2020-05-11',5.0
'2020-05-12',6.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',2.0
'2020-05-05',2.0
'2020-05-06',2.0
'2020-05-07',8.0
'2020-05-08',8.0
'2020-05-09',8.0
'2020-05-10',8.0
'2020-05-11',8.0
'2020-05-12',8.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',2.0
'2020-04-25',1.0
'2020-04-26',2.0
'2020-04-27',2.0
'2020-04-28',2.0
'2020-04-29',2.0
'2020-04-30',2.0
'2020-05-01',2.0
'2020-05-02',2.0
'2020-05-03',2.0
'2020-05-04',2.0
'2020-05-05',2.0
'2020-05-06',2.0
'2020-05-07',2.0
'2020-05-08',2.0
'2020-05-09',2.0
'2020-05-10',2.0
'2020-05-11',2.0
'2020-05-12',3.0
'2020-05-01',2.0
'2020-05-02',2.0
'2020-05-03',2.0
'2020-05-04',2.0
'2020-05-05',3.0
'2020-05-06',4.0
'2020-05-07',5.0
'2020-05-08',6.0
'2020-05-09',6.0
'2020-05-10',6.0
'2020-05-11',7.0
'2020-05-12',8.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',2.0
'2020-05-09',2.0
'2020-05-10',2.0
'2020-05-11',2.0
'2020-05-12',2.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',2.0
'2020-05-05',2.0
'2020-05-06',2.0
'2020-05-07',2.0
'2020-05-08',2.0
'2020-05-09',2.0
'2020-05-10',2.0
'2020-05-11',3.0
'2020-05-12',3.0
'2020-04-08',1.0
'2020-04-09',1.0
'2020-04-10',2.0
'2020-04-11',2.0
'2020-04-12',3.0
'2020-04-13',3.0
'2020-04-14',3.0
'2020-04-15',4.0
'2020-04-16',5.0
'2020-04-17',6.0
'2020-04-18',6.0
'2020-04-19',6.0
'2020-04-20',5.0
'2020-04-21',6.0
'2020-04-22',6.0
'2020-04-23',6.0
'2020-04-24',6.0
'2020-04-25',6.0
'2020-04-26',6.0
'2020-04-27',6.0
'2020-04-28',6.0
'2020-04-29',6.0
'2020-04-30',6.0
'2020-05-01',6.0
'2020-05-02',6.0
'2020-05-03',6.0
'2020-05-04',11.0
'2020-05-05',11.0
'2020-05-06',11.0
'2020-05-07',11.0
'2020-05-08',11.0
'2020-05-09',11.0
'2020-05-10',14.0
'2020-05-11',14.0
'2020-05-12',16.0
'2020-05-01',3.0
'2020-05-02',3.0
'2020-05-03',4.0
'2020-05-04',5.0
'2020-05-05',5.0
'2020-05-06',8.0
'2020-05-07',9.0
'2020-05-08',9.0
'2020-05-09',9.0
'2020-05-10',9.0
'2020-05-11',18.0
'2020-05-12',19.0
'2020-04-25',1.0
'2020-04-26',3.0
'2020-04-27',3.0
'2020-04-28',3.0
'2020-04-29',4.0
'2020-04-30',5.0
'2020-05-01',5.0
'2020-05-02',5.0
'2020-05-03',5.0
'2020-05-04',9.0
'2020-05-05',10.0
'2020-05-06',27.0
'2020-05-07',45.0
'2020-05-08',52.0
'2020-05-09',52.0
'2020-05-10',52.0
'2020-05-11',65.0
'2020-05-12',72.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',9.0
'2020-05-08',9.0
'2020-05-09',9.0
'2020-05-10',9.0
'2020-05-11',10.0
'2020-05-12',12.0
'2020-05-04',3.0
'2020-05-05',3.0
'2020-05-06',2.0
'2020-05-07',8.0
'2020-05-08',11.0
'2020-05-09',11.0
'2020-05-10',11.0
'2020-05-11',17.0
'2020-05-12',22.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',2.0
'2020-05-05',2.0
'2020-05-06',2.0
'2020-05-07',10.0
'2020-05-08',10.0
'2020-05-09',10.0
'2020-05-10',10.0
'2020-05-11',16.0
'2020-05-12',21.0
'2020-04-15',1.0
'2020-04-16',1.0
'2020-04-17',1.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',2.0
'2020-04-22',2.0
'2020-04-23',2.0
'2020-04-24',2.0
'2020-04-25',3.0
'2020-04-26',4.0
'2020-04-27',4.0
'2020-04-28',4.0
'2020-04-29',4.0
'2020-04-30',4.0
'2020-05-01',4.0
'2020-05-02',4.0
'2020-05-03',4.0
'2020-05-04',4.0
'2020-05-05',4.0
'2020-05-06',4.0
'2020-05-07',4.0
'2020-05-08',7.0
'2020-05-09',8.0
'2020-05-10',8.0
'2020-05-11',8.0
'2020-05-12',8.0
'2020-04-24',2.0
'2020-04-25',4.0
'2020-04-26',4.0
'2020-04-27',4.0
'2020-04-28',4.0
'2020-04-29',4.0
'2020-04-30',4.0
'2020-05-01',6.0
'2020-05-02',6.0
'2020-05-03',6.0
'2020-05-04',6.0
'2020-05-05',6.0
'2020-05-06',6.0
'2020-05-07',7.0
'2020-05-08',7.0
'2020-05-09',7.0
'2020-05-10',7.0
'2020-05-11',7.0
'2020-05-12',7.0
'2020-05-04',1.0
'2020-05-05',2.0
'2020-05-06',3.0
'2020-05-07',3.0
'2020-05-08',4.0
'2020-05-09',4.0
'2020-05-10',4.0
'2020-05-11',3.0
'2020-05-12',5.0
'2020-04-06',2.0
'2020-04-07',2.0
'2020-04-08',2.0
'2020-04-09',2.0
'2020-04-10',2.0
'2020-04-11',2.0
'2020-04-12',2.0
'2020-04-13',2.0
'2020-04-14',2.0
'2020-04-15',2.0
'2020-04-16',2.0
'2020-04-17',2.0
'2020-04-18',2.0
'2020-04-19',2.0
'2020-04-20',2.0
'2020-04-21',2.0
'2020-04-22',2.0
'2020-04-23',2.0
'2020-04-24',2.0
'2020-04-25',2.0
'2020-04-26',2.0
'2020-04-27',2.0
'2020-04-28',2.0
'2020-04-29',2.0
'2020-04-30',2.0
'2020-05-01',2.0
'2020-05-02',2.0
'2020-05-03',2.0
'2020-05-04',3.0
'2020-05-05',3.0
'2020-05-06',3.0
'2020-05-07',3.0
'2020-05-08',3.0
'2020-05-09',3.0
'2020-05-10',3.0
'2020-05-11',3.0
'2020-05-12',3.0
'2020-04-21',2.0
'2020-04-22',2.0
'2020-04-23',3.0
'2020-04-24',5.0
'2020-04-25',5.0
'2020-04-26',5.0
'2020-04-27',10.0
'2020-04-28',10.0
'2020-04-29',10.0
'2020-04-30',10.0
'2020-05-01',10.0
'2020-05-02',10.0
'2020-05-03',11.0
'2020-05-04',16.0
'2020-05-05',16.0
'2020-05-06',18.0
'2020-05-07',20.0
'2020-05-08',22.0
'2020-05-09',24.0
'2020-05-10',24.0
'2020-05-11',28.0
'2020-05-12',32.0
'2020-04-17',1.0
'2020-04-18',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',2.0
'2020-05-05',2.0
'2020-05-06',3.0
'2020-05-07',10.0
'2020-05-08',10.0
'2020-05-09',10.0
'2020-05-10',12.0
'2020-05-11',30.0
'2020-05-12',30.0
'2020-04-12',1.0
'2020-04-13',1.0
'2020-04-14',1.0
'2020-04-15',1.0
'2020-04-16',2.0
'2020-04-17',4.0
'2020-04-18',4.0
'2020-04-19',5.0
'2020-04-20',5.0
'2020-04-21',5.0
'2020-04-22',5.0
'2020-04-23',5.0
'2020-04-24',9.0
'2020-04-25',9.0
'2020-04-26',14.0
'2020-04-27',14.0
'2020-04-28',16.0
'2020-04-29',18.0
'2020-04-30',19.0
'2020-05-01',22.0
'2020-05-02',24.0
'2020-05-03',24.0
'2020-05-04',48.0
'2020-05-05',49.0
'2020-05-06',60.0
'2020-05-07',64.0
'2020-05-08',66.0
'2020-05-09',67.0
'2020-05-10',69.0
'2020-05-11',75.0
'2020-05-12',75.0
'2020-04-07',2.0
'2020-04-08',2.0
'2020-04-09',2.0
'2020-04-10',2.0
'2020-04-11',2.0
'2020-04-12',2.0
'2020-04-13',2.0
'2020-04-14',3.0
'2020-04-15',6.0
'2020-04-16',7.0
'2020-04-17',8.0
'2020-04-18',10.0
'2020-04-19',10.0
'2020-04-20',12.0
'2020-04-21',16.0
'2020-04-22',18.0
'2020-04-23',24.0
'2020-04-24',25.0
'2020-04-25',33.0
'2020-04-26',36.0
'2020-04-27',38.0
'2020-04-28',45.0
'2020-04-29',48.0
'2020-04-30',48.0
'2020-05-01',50.0
'2020-05-02',51.0
'2020-05-03',49.0
'2020-05-04',74.0
'2020-05-05',75.0
'2020-05-06',87.0
'2020-05-07',129.0
'2020-05-08',127.0
'2020-05-09',132.0
'2020-05-10',135.0
'2020-05-11',136.0
'2020-05-12',151.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',2.0
'2020-04-28',2.0
'2020-04-29',2.0
'2020-04-30',2.0
'2020-05-01',3.0
'2020-05-02',3.0
'2020-05-03',4.0
'2020-05-04',5.0
'2020-05-05',5.0
'2020-05-06',6.0
'2020-05-07',6.0
'2020-05-08',6.0
'2020-05-09',7.0
'2020-05-10',7.0
'2020-05-11',9.0
'2020-05-12',9.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-05-11',1.0
'2020-05-12',2.0
'2020-04-14',1.0
'2020-04-15',1.0
'2020-04-16',1.0
'2020-04-17',1.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',4.0
'2020-04-25',3.0
'2020-04-26',3.0
'2020-04-27',3.0
'2020-04-28',3.0
'2020-04-29',4.0
'2020-04-30',4.0
'2020-05-01',4.0
'2020-05-02',4.0
'2020-05-03',4.0
'2020-05-04',7.0
'2020-05-05',7.0
'2020-05-06',7.0
'2020-05-07',10.0
'2020-05-08',12.0
'2020-05-09',13.0
'2020-05-10',13.0
'2020-05-11',22.0
'2020-05-12',24.0
'2020-04-25',5.0
'2020-04-26',5.0
'2020-04-27',5.0
'2020-04-28',5.0
'2020-04-29',8.0
'2020-04-30',8.0
'2020-05-01',15.0
'2020-05-02',16.0
'2020-05-03',15.0
'2020-05-04',15.0
'2020-05-05',16.0
'2020-05-06',17.0
'2020-05-07',25.0
'2020-05-08',27.0
'2020-05-09',27.0
'2020-05-10',31.0
'2020-05-11',32.0
'2020-05-12',32.0
'2020-05-04',4.0
'2020-05-05',4.0
'2020-05-06',4.0
'2020-05-07',5.0
'2020-05-08',5.0
'2020-05-09',5.0
'2020-05-10',5.0
'2020-05-11',5.0
'2020-05-12',5.0
'2020-05-07',2.0
'2020-05-08',2.0
'2020-05-09',2.0
'2020-05-10',3.0
'2020-05-11',3.0
'2020-05-12',3.0
'2020-04-05',1.0
'2020-04-06',1.0
'2020-04-07',1.0
'2020-04-08',1.0
'2020-04-09',1.0
'2020-04-10',1.0
'2020-04-11',1.0
'2020-04-12',1.0
'2020-04-17',2.0
'2020-04-18',3.0
'2020-04-19',3.0
'2020-04-20',3.0
'2020-04-21',1.0
'2020-04-22',2.0
'2020-04-23',2.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',2.0
'2020-04-27',8.0
'2020-04-28',8.0
'2020-04-29',9.0
'2020-04-30',9.0
'2020-05-01',14.0
'2020-05-02',14.0
'2020-05-03',14.0
'2020-05-04',15.0
'2020-05-05',15.0
'2020-05-06',15.0
'2020-05-07',22.0
'2020-05-08',22.0
'2020-05-09',22.0
'2020-05-10',22.0
'2020-05-11',23.0
'2020-05-12',23.0
'2020-04-20',2.0
'2020-04-21',1.0
'2020-04-22',4.0
'2020-04-23',4.0
'2020-04-24',4.0
'2020-04-25',2.0
'2020-04-26',5.0
'2020-04-27',8.0
'2020-04-28',6.0
'2020-04-29',6.0
'2020-04-30',8.0
'2020-05-01',9.0
'2020-05-02',10.0
'2020-05-03',8.0
'2020-05-04',12.0
'2020-05-05',12.0
'2020-05-06',12.0
'2020-05-07',13.0
'2020-05-08',14.0
'2020-05-09',14.0
'2020-05-10',14.0
'2020-05-11',14.0
'2020-05-12',14.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',3.0
'2020-04-23',3.0
'2020-04-24',3.0
'2020-04-25',3.0
'2020-04-26',3.0
'2020-04-27',3.0
'2020-04-28',3.0
'2020-04-29',4.0
'2020-04-30',4.0
'2020-05-01',4.0
'2020-05-02',4.0
'2020-05-03',4.0
'2020-05-04',4.0
'2020-05-05',4.0
'2020-05-06',4.0
'2020-05-07',4.0
'2020-05-08',4.0
'2020-05-09',4.0
'2020-05-10',4.0
'2020-05-11',4.0
'2020-05-12',4.0
'2020-04-06',1.0
'2020-04-07',1.0
'2020-04-08',1.0
'2020-04-09',1.0
'2020-04-10',1.0
'2020-04-11',1.0
'2020-04-12',1.0
'2020-04-13',1.0
'2020-04-15',1.0
'2020-04-16',2.0
'2020-04-17',2.0
'2020-04-18',2.0
'2020-04-19',3.0
'2020-04-20',3.0
'2020-04-21',2.0
'2020-04-22',2.0
'2020-04-23',2.0
'2020-04-24',3.0
'2020-04-25',5.0
'2020-04-26',5.0
'2020-04-27',9.0
'2020-04-28',11.0
'2020-04-29',11.0
'2020-04-30',11.0
'2020-05-01',11.0
'2020-05-02',11.0
'2020-05-03',11.0
'2020-05-04',15.0
'2020-05-05',16.0
'2020-05-06',16.0
'2020-05-07',30.0
'2020-05-08',36.0
'2020-05-09',40.0
'2020-05-10',43.0
'2020-05-11',52.0
'2020-05-12',52.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-05-01',2.0
'2020-05-02',2.0
'2020-05-03',2.0
'2020-05-04',2.0
'2020-05-05',2.0
'2020-05-06',5.0
'2020-05-07',6.0
'2020-05-08',6.0
'2020-05-09',6.0
'2020-05-10',6.0
'2020-05-11',6.0
'2020-05-12',6.0
'2020-04-16',1.0
'2020-04-17',1.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',2.0
'2020-04-22',2.0
'2020-04-23',2.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',1.0
'2020-05-05',1.0
'2020-05-06',1.0
'2020-05-07',1.0
'2020-05-08',1.0
'2020-05-09',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-05-10',1.0
'2020-05-11',1.0
'2020-05-12',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',2.0
'2020-04-30',2.0
'2020-05-01',3.0
'2020-05-02',3.0
'2020-05-03',3.0
'2020-05-04',3.0
'2020-05-05',3.0
'2020-05-06',3.0
'2020-05-07',3.0
'2020-05-08',4.0
'2020-05-09',4.0
'2020-05-10',4.0
'2020-05-11',4.0
'2020-05-12',4.0
'2020-04-15',1.0
'2020-04-16',1.0
'2020-04-17',1.0
'2020-04-18',1.0
'2020-04-19',1.0
'2020-04-20',1.0
'2020-04-21',1.0
'2020-04-22',1.0
'2020-04-23',1.0
'2020-04-24',1.0
'2020-04-25',1.0
'2020-04-26',1.0
'2020-04-27',1.0
'2020-04-28',1.0
'2020-04-29',1.0
'2020-04-30',1.0
'2020-05-01',1.0
'2020-05-02',1.0
'2020-05-03',1.0
'2020-05-04',5.0
'2020-05-05',5.0
'2020-05-06',4.0
'2020-05-07',5.0
'2020-05-08',5.0
'2020-05-09',5.0
'2020-05-10',5.0
'2020-05-11',8.0
'2020-05-12',8.0
